id	word_id	sg1	sg2	sg3	pl1	pl2	pl3
146	146	5586	5586	воображу'	воображу'	вообрази'шь	вообрази'шь	вообрази'т	вообрази'т	вообрази'м	вообрази'м	вообрази'те	вообрази'те	вообразя'т	вообразя'т
147	147	31187	31187	вооружа'юсь	вооружа'юсь	вооружа'ешься	вооружа'ешься	вооружа'ется	вооружа'ется	вооружа'емся	вооружа'емся	вооружа'етесь	вооружа'етесь	вооружа'ются	вооружа'ются
148	148	24356	24356	вооружу'	вооружу'	вооружи'шь	вооружи'шь	вооружи'т	вооружи'т	вооружи'м	вооружи'м	вооружи'те	вооружи'те	вооружа'т	вооружа'т
149	149	14614	14614	вооружу'сь	вооружу'сь	вооружи'шься	вооружи'шься	вооружи'тся	вооружи'тся	вооружи'мся	вооружи'мся	вооружи'тесь	вооружи'тесь	вооружа'тся	вооружа'тся
150	150	17692	17692	ворку'ю	ворку'ю	ворку'ешь	ворку'ешь	ворку'ет	ворку'ет	ворку'ем	ворку'ем	ворку'ете	ворку'ете	ворку'ют	ворку'ют
151	151	4270	4270	вору'ю	вору'ю	вору'ешь	вору'ешь	вору'ет	вору'ет	вору'ем	вору'ем	вору'ете	вору'ете	вору'ют	вору'ют
152	152	5042	5042	ворчу'	ворчу'	ворчи'шь	ворчи'шь	ворчи'т	ворчи'т	ворчи'м	ворчи'м	ворчи'те	ворчи'те	ворча'т	ворча'т
153	153	1389	1389	воскли'кну	воскли'кну	воскли'кнешь	воскли'кнешь	воскли'кнет	воскли'кнет	воскли'кнем	воскли'кнем	воскли'кнете	воскли'кнете	воскли'кнут	воскли'кнут
154	154	8420	8420	восклица'ю	восклица'ю	восклица'ешь	восклица'ешь	восклица'ет	восклица'ет	восклица'ем	восклица'ем	восклица'ете	восклица'ете	восклица'ют	восклица'ют
155	155	19580	19580	воспева'ю	воспева'ю	воспева'ешь	воспева'ешь	воспева'ет	воспева'ет	воспева'ем	воспева'ем	воспева'ете	воспева'ете	воспева'ют	воспева'ют
156	156	7865	7865	воспита'ю	воспита'ю	воспита'ешь	воспита'ешь	воспита'ет	воспита'ет	воспита'ем	воспита'ем	воспита'ете	воспита'ете	воспита'ют	воспита'ют
157	157	4838	4838	воспи'тываю	воспи'тываю	воспи'тываешь	воспи'тываешь	воспи'тывает	воспи'тывает	воспи'тываем	воспи'тываем	воспи'тываете	воспи'тываете	воспи'тывают	воспи'тывают
